"x1","x2","y_obs","y_hat","y_hat_sd","residual"
6.4516125,41.935482,9,28.6044325350432,19.3409600562085,-19.6044325350432
6.4516125,45.161285,7,19.3861763079619,10.3487602355461,-12.3861763079619
6.4516125,48.387093,4,11.3110331692257,4.65175535442808,-7.31103316922566
6.4516125,51.6129,1,6.84997646949299,2.5460340946888,-5.84997646949299
6.4516125,58.064514,5,4.5563451366575,1.61754107802851,0.443654863342505
6.4516125,61.290318,11,4.35658083565776,2.05934558741376,6.64341916434224
6.4516125,64.51613,13,4.38286846671808,2.62778723862304,8.61713153328192
6.4516125,67.74193,10,4.3546051390433,3.2912321374462,5.6453948609567
6.4516125,70.967735,6,4.17046040948577,3.91802176987047,1.82953959051423
6.4516125,74.19354,8,3.87342225041995,4.36185044870645,4.12657774958005
6.4516125,77.41935,9,3.55291047821942,4.67664113779005,5.44708952178058
